document-count,cited-by-count,citations-count,h-index,coauthor-count,surname,given-name,faculty,department,gender,affiliation-name
20,42,44,3,19,Moses,Priscilla,FCI,DGEN,female,Universiti Tunku Abdul Rahman
6,4,4,1,12,Sinnapan,Santhidran,FCI,DMC,male,Universiti Tunku Abdul Rahman
5,2,2,1,9,Albert Wilson,Sharon Jacqueline,FCI,DMC,female,Universiti Tunku Abdul Rahman
6,4,4,1,9,Rajaskran,Thanaseelen,FCI,DMC,male,Universiti Tunku Abdul Rahman
4,3,3,1,10,Periyayya,Thinavan,FCI,DM,male,Universiti Tunku Abdul Rahman
4,2,2,1,6,Supian,Nadya,FCI,DML,female,Universiti Tunku Abdul Rahman
2,4,4,1,3,Thurairaj,Saraswathy,FCI,DML,female,Universiti Tunku Abdul Rahman
4,0,0,0,11,Kandasamy,Silllalee,FCI,DML,female,Universiti Tunku Abdul Rahman
2,4,4,1,9,Roy,Swagata Sinha,FCI,DML,female,Universiti Tunku Abdul Rahman
5,18,18,1,6,Yuen,May Chan,FCI,DMDA,female,Universiti Tunku Abdul Rahman
0,0,0,0,0,Siew,Pei Hwa,FCI,DMDA,female,Universiti Tunku Abdul Rahman
2,1,1,1,9,Ashola,Olanrewaju Abdullateef,FEGT,DCM,male,Universiti Tunku Abdul Rahman
15,391,414,8,16,Kwan,Wai Hoe,FEGT,DCM,male,Universiti Tunku Abdul Rahman
3,2,2,1,7,Sanmargaraja,Shalini,FEGT,DCM,female,Universiti Tunku Abdul Rahman
10,35,38,4,13,Tan,Seong Yeow,FEGT,DCM,male,Universiti Tunku Abdul Rahman
3,1,1,1,8,Teh,Kim Hai,FEGT,DCM,male,Universiti Tunku Abdul Rahman
8,5,5,1,14,Ponniah,Vignes,FEGT,DCM,male,Universiti Tunku Abdul Rahman
4,4,4,1,4,Chan,Cheong Loong,FEGT,DEE,male,Universiti Tunku Abdul Rahman
110,348,469,10,105,Nisar,Humaira,FEGT,DEE,female,Universiti Tunku Abdul Rahman
19,46,54,4,23,Lee,Sheng Chyan,FEGT,DEE,male,Universiti Tunku Abdul Rahman
8,26,32,2,6,Lee,Yu Jen,FEGT,DEE,male,Universiti Tunku Abdul Rahman
48,647,899,12,46,Teh,Peh Chiong,FEGT,DEE,male,Universiti Tunku Abdul Rahman
10,134,152,4,24,Loh,Siu Hong,FEGT,DEE,male,Universiti Tunku Abdul Rahman
4,1,1,1,7,Toh,Pek Lan,FEGT,DEE,female,Universiti Tunku Abdul Rahman
49,223,249,9,58,Yap,Vooi Voon,FEGT,DEE,male,Universiti Tunku Abdul Rahman
63,175,170,7,92,Yeap,Kim Ho,FEGT,DEE,male,Universiti Tunku Abdul Rahman
16,28,39,4,24,Yeong,Kee Choon,FEGT,DEE,male,Universiti Tunku Abdul Rahman
19,165,235,8,17,Yew,Tiong Keat,FEGT,DEE,male,Universiti Tunku Abdul Rahman
5,13,14,2,6,Chin,Kah Seng,FEGT,DEV,male,Universiti Tunku Abdul Rahman
6,13,13,2,15,Chin,Yik Heng,FEGT,DEV,male,Universiti Tunku Abdul Rahman
73,1367,1815,23,28,Lam,Sze Mun,FEGT,DEV,female,Universiti Tunku Abdul Rahman
37,640,686,11,63,Leong,Kah Hon,FEGT,DEV,male,Universiti Tunku Abdul Rahman
99,1408,1880,22,189,Bashir,Mohammed,FEGT,DEV,male,Universiti Tunku Abdul Rahman
40,285,366,10,77,Ng,Choon Aun,FEGT,DEV,male,Universiti Tunku Abdul Rahman
6,24,24,3,11,Tan,Kok Weng,FEGT,DEV,male,Universiti Tunku Abdul Rahman
10,63,64,3,22,Wai,Soon Han,FEGT,DEV,male,Universiti Tunku Abdul Rahman
10,29,35,3,28,Wong,Lai Peng,FEGT,DEV,female,Universiti Tunku Abdul Rahman
9,73,79,5,30,Wong,Ling Yong,FEGT,DEV,male,Universiti Tunku Abdul Rahman
